title,product_type,variants,description,product link
Coral,Luggage Cover sets,Small-Medium - ₹1499.00,"Eco-friendly, recycled luggage covers protect 18-24"" suitcases from dirt & damage.  Durable, stretchy, & stylish.",https://tinyurl.com/23h7nqr8
Crescent,Hardside Luggage,Black / Small - ₹2999.00,"Unbreakable 20"" cabin luggage (55cm) with number lock, smooth wheels, and two compartments.",https://tinyurl.com/27uwn2e3
Corporate Backpack,Backpack,Black - ₹1999.00,"Durable 1000D polyester backpack with USB, shoe pocket, secret compartment, laptop sleeve, and multiple compartments.",https://tinyurl.com/2bgew6yv
Crescent,Hardside Luggage,Champange / Large - ₹3999.00,"Unbreakable 28"" checked luggage (75cm) with number lock, smooth wheels, and two compartments.",https://tinyurl.com/2cc29fja
Crescent,Hardside Luggage,Blue / Small - ₹2999.00,"Unbreakable 20"" cabin luggage (55cm) with number lock, smooth wheels, and two compartments.",https://tinyurl.com/2d32h3qf
Crescent,Hardside Luggage,Black / Medium - ₹3299.00,"Unbreakable 24"" luggage (65cm) with number lock, smooth wheels, and two compartments.",https://tinyurl.com/26grhg4p
Crescent,Hardside Luggage,Black / Large - ₹3999.00,"Unbreakable, 28"" large luggage with number lock, smooth wheels, and two compartments.",https://tinyurl.com/23pqlrav
Coral,Luggage Cover sets,Small-Medium-Large - ₹2399.00,"Eco-friendly, recycled luggage covers protect 18-28"" suitcases from dirt & damage.  Durable, stretchy, & attractive designs.",https://tinyurl.com/2asxkl9n
Crescent,Hardside Luggage,Green / Small - ₹2999.00,"Unbreakable 20"" cabin luggage (55cm) with number lock, smooth wheels, and two compartments.",https://tinyurl.com/2amssect
Crescent,Hardside Luggage,Grey / Small - ₹2999.00,"Unbreakable 20"" cabin luggage (55cm) with number lock, smooth wheels, and two compartments.",https://tinyurl.com/267ntuyf
Crescent,Hardside Luggage,Green / Large - ₹3999.00,"Unbreakable 28"" luggage (75cm) with number lock, smooth wheels, and two compartments.",https://tinyurl.com/2cf5s4kr
Crescent,Hardside Luggage,Purple / Small - ₹2999.00,"Unbreakable 20"" cabin luggage (55cm) with number lock, smooth wheels, and two compartments.",https://tinyurl.com/2bo5kgdm
Crescent,Hardside Luggage,Purple / Medium - ₹3299.00,"Unbreakable 24"" luggage (65cm) with number lock, smooth wheels, and two compartments.",https://tinyurl.com/24f3a285
Crescent,Hardside Luggage,Purple / Large - ₹3999.00,"Unbreakable 28"" checked luggage (75cm) with number lock, smooth wheels, and two compartments.",https://tinyurl.com/29geb5f9
Crescent,Hardside Luggage,Purple / Small-Medium - ₹5999.00,"Unbreakable hard-shell 2-piece luggage set (55cm/65cm) with secure number lock, smooth wheels, and ample storage.",https://tinyurl.com/2378qhzw
Crescent,Hardside Luggage,Purple / Small-Medium-Large - ₹8999.00,"Unbreakable 3-piece hard-shell luggage set (55, 65, 75cm) with number lock, smooth wheels, and adjustable telescopic handle.",https://tinyurl.com/2dbarwoq
Cricket,Backpack,Red - ₹999.00,"Durable 1000D polyester backpack with multiple compartments, mesh padding, and easy access. 6-month warranty.",https://tinyurl.com/225leawr
Crystal,Hardside Luggage,Yellow / Small - ₹2599.00,"Lightweight 20"" polycarbonate hard-side carry-on,  Indian-made,  with smooth spinner wheels and telescoping handle.",https://tinyurl.com/2xh37zu4
Crescent,Hardside Luggage,Blue / Large - ₹3999.00,"Unbreakable 28"" checked luggage (75cm) with number lock, smooth wheels, and two compartments.",https://tinyurl.com/26ej8h87
Crescent,Hardside Luggage,Champange / Small - ₹2999.00,"Unbreakable 20"" cabin luggage (55cm) with number lock, smooth wheels, and two compartments.",https://tinyurl.com/24r3dtbo
Crystal,Hardside,Silver / Medium - ₹3299.00,"Lightweight 24"" hard-side spinner luggage, perfect for 3-5 day trips.  Made in India.",https://tinyurl.com/23j8ubmz
Crescent,Hardside Luggage,Grey / Large - ₹3999.00,"Unbreakable 28"" checked luggage (75cm) with number lock, smooth wheels, and two compartments.",https://tinyurl.com/2454cpwt
Crescent,Hardside Luggage,Grey / Medium-Large - ₹6299.00,Unbreakable hard-shell 2-piece luggage set (65cm/75cm).  Secure number lock & smooth wheels.,https://tinyurl.com/238wcusu
Crescent,Hardside Luggage,Yellow / Small - ₹2999.00,"Unbreakable 20"" cabin luggage (55cm) with secure number lock, smooth wheels, and spacious compartments.",https://tinyurl.com/23kltke4
Dalhousie,Hardside Luggage,Purple / Medium - ₹3899.00,"Indian-made, 24"" polycarbonate hard-side carry-on, perfect for weekend trips.  Durable, secure, and easy to roll.",https://tinyurl.com/2c9gdc4d
Cricket Fever,Backpack,Red - ₹1299.00,"Durable polyester cricket backpack with padded straps, laptop compartment, and organized interior.  6-month warranty.",https://tinyurl.com/27rt4dcj
Cricket Fever,Backpack,Green - ₹1299.00,"Durable polyester cricket backpack with padded straps, laptop compartment, and organized interior.  6-month warranty.",https://tinyurl.com/2bcg3qsf
Crescent,Hardside Luggage,Yellow / Large - ₹3999.00,"Unbreakable, 28"" checked luggage (75cm) with number lock, smooth wheels, and two compartments.",https://tinyurl.com/2youo3ja
Cricket Fever,Backpack,Blue - ₹1299.00,"Durable polyester cricket backpack with padded straps, laptop compartment, and organized interior.  6-month warranty.",https://tinyurl.com/28ff67ws
Crystal,Hardside,Teal / Small - ₹2299.00,"Lightweight 20"" polycarbonate hard-side carry-on,  Indian-made, with smooth spinner wheels and telescoping handle.",https://tinyurl.com/2ajp9pbc
Crystal,Hardside,Yellow / Medium - ₹2699.00,"Lightweight 24"" hard-side spinner luggage, perfect for 3-5 day trips.  Made in India.",https://tinyurl.com/23w4asv3
Dallas,Softside Luggage,Dark Maroon / Small - ₹2299.00,"Small, lightweight cabin luggage (20"") for weekend trips or carry-on.  Stylish, secure, and mobile.",https://tinyurl.com/25ce6p2f
Crystal,Hardside,Teal / Medium - ₹3499.00,"Lightweight 24"" hard-side spinner luggage, perfect for 3-5 day trips.  Made in India.",https://tinyurl.com/2584o8ak
Dallas,Softside Luggage,Dark Maroon / Large - ₹3999.00,"Large, 28"" soft-sided luggage for weekend trips/carry-on, durable, expandable, with multiple pockets & wheels.",https://tinyurl.com/25bzuyug
Crystal,Hardside,Silver / Small - ₹2299.00,"Lightweight 20"" polycarbonate hard-side carry-on,  Indian-made,  with smooth spinner wheels and telescoping handle.",https://tinyurl.com/2btkwrss
Crystal,Hardside,Navy Blue / Small - ₹2249.00,"Lightweight 20"" polycarbonate hard-side carry-on,  Indian-made, with smooth spinner wheels and telescoping handle.",https://tinyurl.com/2248f288
Crystal,Hardside,Navy Blue / Medium - ₹2699.00,"Lightweight 24"" hard-side spinner luggage, perfect for 3-5 day trips.  Made in India.",https://tinyurl.com/26wje8dj
Denver,Hardside Luggage,Blue / Small - ₹3099.00,"Lightweight, 20"" hard-side cabin luggage for weekend trips or international travel.  Smooth wheels, secure lock, roomy interior.",https://tinyurl.com/2xtvl35m
Crystal,Hardside,Black / Medium - ₹2699.00,"Lightweight 24"" hard-side spinner luggage, perfect for 3-5 day trips.  Made in India.",https://tinyurl.com/27k5g3xs
Crystal,Hardside,Black / Small - ₹2249.00,"Lightweight 20"" polycarbonate hard-side carry-on,  Indian-made, with smooth spinner wheels and telescoping handle.",https://tinyurl.com/277a2zpa
Dallas,Softside Luggage,Teal / Small - ₹2249.00,"Small, lightweight cabin luggage (20"") for weekend trips or carry-on.  Stylish, secure, and mobile.",https://tinyurl.com/28ponlqg
Denver,Hardside Luggage,Blue / Medium - ₹3799.00,"Lightweight, 24"" hard-side spinner luggage (M) for 5-7 day trips.  Durable, organized, and secure.",https://tinyurl.com/295k462y
Denver,Luggage Sets,Blue / Small-Medium-Large - ₹11199.00,"Lightweight, hard-side 3-piece luggage set (55, 65, 75cm) with spinner wheels, telescopic handle, and interior organization.",https://tinyurl.com/26dnvr38
Dallas,Softside Luggage,Teal / Large - ₹3999.00,"Large, 28"" soft-sided luggage for weekend trips/carry-on, durable, expandable, with pockets, wheels, and lock.",https://tinyurl.com/29govaxl
Dallas,Softside Luggage,Grey / Small - ₹2299.00,"Stylish, lightweight (20"") cabin luggage (S) for weekend trips/carry-on.  2-toned, telescopic handle, spinner wheels, & number lock.",https://tinyurl.com/28wk29x8
Dallas,Softside Luggage,Grey / Large - ₹3999.00,"Large, 28"" soft-sided luggage for weekend trips/carry-on, durable, expandable, with multiple pockets & wheels.",https://tinyurl.com/29dapgdp
Dallas,Softside Luggage,Navy Blue / Small - ₹2299.00,"Small, lightweight cabin luggage (20"") for weekend trips or carry-on. Stylish, 2-toned design, telescopic handle, spinner wheels, & number lock.  2-year warranty (excludes wear).",https://tinyurl.com/266sk6tg
Denver,Hardside Luggage,Blue / Large - ₹4299.00,"Lightweight, large (L) 28"" hard-side spinner luggage, perfect for week-long trips.",https://tinyurl.com/2arfv2n3
Denver,Luggage Sets,Blue / Small-Medium - ₹6999.00,"Lightweight, hard-side 2-piece luggage set (55cm/65cm) with spinner wheels, telescopic handle, and roomy interior.",https://tinyurl.com/2cgbowb5
Dallas,Softside Luggage,Pink / Small - ₹2299.00,"Small, lightweight cabin luggage (20"") for weekend trips or carry-on.  Stylish, secure, and mobile.",https://tinyurl.com/2xs8ymso
Denver,Hardside Luggage,Grey / Medium - ₹3799.00,"Lightweight, 24"" hard-side spinner luggage (M) for 5-7 day trips.  Durable, organized, and secure.",https://tinyurl.com/253e3tg9
Denver,Hardside Luggage,Orange / Medium - ₹3799.00,"Lightweight, 24"" hard-side spinner luggage (M) for 5-7 day trips.  Durable, organized, and secure.",https://tinyurl.com/274o6fad
Denver,Hardside Luggage,Orange / Large - ₹4299.00,"Lightweight, large (L) 28"" hard-side luggage for week-long trips.  Durable polycarbonate, spinner wheels, and secure lock.",https://tinyurl.com/2y8vou98
Denver,Hardside Luggage,Orange / Small - ₹3099.00,"Lightweight, 20"" hard-side cabin luggage for weekend trips or international travel.  Smooth wheels, secure lock, roomy interior.",https://tinyurl.com/29yoqhcm
Denver,Hardside Luggage,Grey / Small - ₹3199.00,"Lightweight, 20"" hard-side cabin suitcase for weekend trips or international travel.  Durable polycarbonate, spinner wheels, and TSA lock.",https://tinyurl.com/29qxok32
Denver,Luggage Sets,Orange / Small-Medium - ₹6899.00,"Lightweight, hard-side 2-piece luggage set (55cm/65cm) with spinner wheels, telescopic handle, and organized interior.",https://tinyurl.com/26p9uq4b
Denver,Luggage Sets,Orange / Medium-Large - ₹8198.00,"Lightweight, hard-side 2-piece luggage set (65cm/75cm) with spinner wheels, telescopic handle, and interior organization.",https://tinyurl.com/23nzcsed
Denver,Hardside Luggage,Light Blue / Small - ₹3099.00,"Lightweight, 20"" hard-side cabin luggage, perfect for weekend trips or international travel.  Smooth wheels, secure lock, roomy interior.",https://tinyurl.com/23lw3x7z
Denver,Hardside Luggage,Light Blue / Large - ₹4299.00,"Lightweight, large (L) 28"" hard-side spinner luggage, perfect for week-long trips.",https://tinyurl.com/23g8td55
Denver,Luggage Sets,Orange / Small-Medium-Large - ₹11199.00,"Lightweight, hard-side 3-piece luggage set (55, 65, 75cm) with spinner wheels, telescopic handle, and interior organization.",https://tinyurl.com/2d3glvsv
Denver,Luggage Sets,Light Blue / Small-Medium - ₹6999.00,"Lightweight, hard-side 2-piece luggage set (55cm/65cm) with spinner wheels, telescopic handle, and organized interior.",https://tinyurl.com/247n8teq
Denver,Luggage Sets,Light Blue / Medium-Large - ₹8198.00,"Lightweight, hard-side 2-piece luggage set (65cm/75cm) with spinner wheels, telescopic handle, and interior organization.",https://tinyurl.com/29ztmzd2
Denver,Luggage Sets,Light Blue / Small-Medium-Large - ₹11199.00,"Lightweight, hard-side 3-piece luggage set (55, 65, 75cm) with spinner wheels, telescopic handle, and interior organization.",https://tinyurl.com/2caprubs
Dubai,Hardside Luggage,White / Small - ₹5491.00,"20"" hard-side luggage, durable, compact, 8kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/2avb8ocf
Dubai,Hardside Luggage,White / Medium - ₹6989.00,"24"" dual-color hard-side luggage, 15kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/2c7bm3ow
Dubai,Hardside Luggage,White / Large - ₹8489.00,"Large, hard-shell 28"" checked luggage (20kg).  Durable, stylish, spacious, with TSA lock & 5-year warranty.",https://tinyurl.com/2cdboxqp
Denver,Hardside Luggage,Grey / Large - ₹4299.00,"Lightweight, large (L) 28"" hard-side luggage, perfect for week-long trips.  Durable, organized, and easy to move.",https://tinyurl.com/2y53e8jt
Dubai,Luggage Sets,White / Small-Medium-Large - ₹20993.00,"Stylish, durable 3-piece polypropylene luggage set (20"", 24"", 28"") with TSA lock & 5-year warranty.",https://tinyurl.com/28fyycuc
Denver,Luggage Sets,Grey / Medium-Large - ₹8198.00,"Lightweight, hard-side 2-piece luggage set (65cm/75cm) with spinner wheels, telescopic handle, and interior organization.",https://tinyurl.com/2yur8a3w
Denver,Luggage Sets,Grey / Small-Medium - ₹6899.00,"Lightweight, hard-side 2-piece luggage set (55cm/65cm) with spinner wheels, telescopic handle, and roomy interior.",https://tinyurl.com/28xfyfbt
Denver,Luggage Sets,Grey / Small-Medium-Large - ₹11199.00,"Lightweight, hard-side 3-piece luggage set (55, 65, 75cm) with spinner wheels, telescopic handle, and interior organization.",https://tinyurl.com/2c928hyu
Dubai,Luggage Sets,Black / Small-Medium - ₹12498.00,"Dual-color 2-piece luggage set (20""/24"") for short-medium trips. Durable, stylish, and spacious.",https://tinyurl.com/28bjsjag
Dubai,Hardside Luggage,Lavender / Small - ₹5491.00,"20"" hard-side luggage, durable, compact, 8kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/263x9z74
Dollar,Luggage Sets,Purple / Small-Medium - ₹5799.00,"Lightweight polycarbonate spinner luggage set (20"", 24"").  Made in India.  Smooth rolling, easy maneuverability.",https://tinyurl.com/2dfjycc7
Dubai,Hardside Luggage,Lavender / Large - ₹8489.00,"Large, hard-shell 28"" checked luggage (20kg).  Durable, stylish, spacious, with TSA lock & 5-year warranty.",https://tinyurl.com/2283pnuk
Dubai,Luggage Sets,Lavender / Small-Medium - ₹12498.00,"Dual-color 2-piece luggage set (20""/24"") for short to medium trips. Durable, stylish, and spacious.",https://tinyurl.com/249sx4r7
Dubai,Luggage Sets,Lavender / Medium-Large - ₹15498.00,"Dual-color 2-piece luggage set (24""/28""), durable, spacious, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/2c3uga53
Dubai,Hardside Luggage,Lavender / Medium - ₹6989.00,"24"" dual-color hard-side luggage, 15kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/256s9n35
Dubai,Luggage Sets,Blue / Medium-Large - ₹15498.00,"Dual-color 2-piece luggage set (24""/28""), durable, spacious, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/2yqhpqc4
Dubai,Luggage Sets,White / Small-Medium - ₹12498.00,"Dual-color 2-piece luggage set (20""/24"") for short to medium trips. Durable, stylish, and spacious.",https://tinyurl.com/2xwvmyn2
Dubai,Hardside Luggage,Blue / Large - ₹8489.00,"Large, hard-shell 28"" suitcase (20kg).  Durable, stylish, spacious, with TSA lock & 5-year warranty.",https://tinyurl.com/2brg8jge
Dubai,Hardside Luggage,Pink / Medium - ₹6989.00,"24"" dual-color hard-side luggage, 15kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/26lxf9cg
Dubai,Hardside Luggage,Pink / Small - ₹5491.00,"20"" hard-side luggage, durable, compact, 8kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/23fdjnx6
Dubai,Hardside Luggage,Black / Small - ₹5491.00,"20"" hard-side luggage, durable, compact, 8kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/26tjd9t6
Dubai,Hardside Luggage,Black / Large - ₹8489.00,"Large, hard-shell 28"" suitcase (20kg).  Durable, stylish, spacious, with TSA lock & 5-year warranty.",https://tinyurl.com/2dzuvjjd
Dubai,Hardside Luggage,Black / Medium - ₹6989.00,"24"" dual-color hard-side luggage, 15kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/26k55j7h
Dubai,Luggage Sets,Black / Medium-Large - ₹15498.00,"Dual-color 2-piece luggage set (24""/28""), 15/20kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/224mjuao
Dubai,Luggage Sets,Grey / Small-Medium - ₹12497.00,"Dual-color 2-piece luggage set (20""/24"") for short to medium trips. Durable, stylish, and spacious.",https://tinyurl.com/2b8nyozq
Dubai,Hardside Luggage,Blue / Medium - ₹6989.00,"24"" dual-color hard-side luggage, 15kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/2cr2e879
Dubai,Hardside Luggage,Yellow / Medium - ₹6989.00,"24"" dual-color hard-side luggage, 15kg capacity, 8 spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/27feso6h
Dubai,Luggage Sets,Blue / Small-Medium - ₹12498.00,"Dual-color 2-piece luggage set (20""/24"") for short to medium trips. Durable, stylish, and spacious.",https://tinyurl.com/2dxupsey
Dubai,Hardside Luggage,Blue / Small - ₹5491.00,"20"" hard-side luggage, durable, compact, 8kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/2cugkyr5
Dubai,Hardside Luggage,Yellow / Large - ₹8489.00,"Large, hard-shell 28"" checked luggage (20kg). Durable, stylish, spacious, with TSA lock & 5-year warranty.",https://tinyurl.com/2bona2x9
Dubai,Luggage Sets,Blue / Small-Medium-Large - ₹20997.00,"Stylish, durable 3-piece luggage set (20"", 24"", 28"") with spinner wheels, TSA lock, and 5-year shell warranty.",https://tinyurl.com/2223nqsr
Dubai,Hardside Luggage,Pink / Large - ₹8489.00,"Large, hard-shell 28"" checked luggage (20kg).  Durable, stylish, spacious, with TSA lock & 5-year warranty.",https://tinyurl.com/2cnl8ekd
Dubai,Luggage Sets,Yellow / Small-Medium-Large - ₹20997.00,"Stylish, durable 3-piece luggage set (20"", 24"", 28"") with spinner wheels, TSA lock, and 5-year shell warranty.",https://tinyurl.com/2d6npbej
Dubai,Luggage Sets,Pink / Small-Medium - ₹12498.00,"Dual-color 2-piece luggage set (20""/24"") for short-medium trips. Durable, stylish, and spacious.",https://tinyurl.com/28k5qjr6
Dubai,Luggage Sets,Pink / Medium-Large - ₹15498.00,"Dual-color 2-piece luggage set (24""/28""), durable, spacious, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/27ma7bd9
Dubai,Hardside Luggage,Grey / Small - ₹5491.00,"20"" hard-side luggage, durable, compact, 8kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/29jow8zy
Dubai,Hardside Luggage,Grey / Medium - ₹6989.00,"24"" dual-color hard-side luggage, 15kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/2ys8c6m2
Dubai,Hardside Luggage,Grey / Large - ₹8489.00,"Large, hard-shell 28"" checked luggage (20kg).  Durable, stylish, spacious, with TSA lock & 5-year warranty.",https://tinyurl.com/2b4487dx
Dubai,Luggage Sets,Green / Medium-Large - ₹15498.00,"Dual-color 2-piece luggage set (24""/28""), 15/20kg capacity, spinner wheels, TSA lock, 5-year shell/1-year accessory warranty.",https://tinyurl.com/2ymy7sjy
Dubai,Hardside Luggage,Pastel Green / Small - ₹5491.00,"20"" hard-side luggage, durable, compact, 8kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/2ybonepd
Dubai,Luggage Sets,Grey / Medium-Large - ₹15498.00,"Dual-color 2-piece luggage set (24""/28""), durable, spacious, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/2cj4ngra
Dubai,Hardside Luggage,Yellow / Small - ₹5491.00,"20"" hard-side luggage (polypropylene), 2-3 day trips, 8kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/22mmplg3
Dubai,Luggage Sets,Yellow / Medium-Large - ₹15498.00,"Dual-color 2-piece luggage set (24""/28""), durable, spacious, with spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/27clu6nc
Dubai,Luggage Sets,Yellow / Small-Medium - ₹12498.00,"Dual-color 2-piece luggage set (20""/24"") for short to medium trips. Durable, stylish, and spacious.",https://tinyurl.com/25uleu92
Dubai,Hardside Luggage,Green / Small - ₹5491.00,"20"" hard-side luggage, durable, compact, 8kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/25kbugfe
Dubai,Luggage Sets,Green / Small-Medium-Large - ₹20997.00,"Stylish, durable 3-piece luggage set (20"", 24"", 28"") with spinner wheels, TSA lock, and 5-year shell warranty.",https://tinyurl.com/27tqq7np
Dubai,Hardside Luggage,Green / Medium - ₹6989.00,"24"" dual-color hard-side luggage, 15kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/2y484zeu
Dubai,Luggage Sets,Green / Small-Medium - ₹12497.00,"Dual-color 2-piece luggage set (20""/24"") for short to medium trips. Durable, stylish, and spacious.",https://tinyurl.com/2y8ahl5h
Dubai,Hardside Luggage,Green / Large - ₹8489.00,"24"" dual-color hard-side luggage, 15kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/2xrjrdpx
Echo,Hardside Luggage,Navy Blue & Blue / Large - ₹3999.00,"Large (28"") travel luggage:  Durable, lightweight, 25kg capacity, secure lock, spinner wheels, organized compartments.",https://tinyurl.com/2yr6x2fs
Dubai,Hardside Luggage,Pastel Green / Medium - ₹6989.00,"24"" dual-color hard-side luggage, 15kg capacity, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/26d2ohwh
Engineering,Backpack,Blue - ₹1699.00,"Durable, spacious backpack (36L) with laptop compartment, adjustable straps, and rain cover.",https://tinyurl.com/25susgw4
Dubai,Hardside Luggage,Pastel Green / Large - ₹8489.00,"Dual-color 2-piece luggage set (24""/28""), durable, spacious, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/25guomsz
Dubai,Luggage Sets,Pastel Green / Small-Medium - ₹12498.00,"Dual-color 2-piece luggage set (20""/24"") for short to medium trips. Durable, stylish, and spacious.",https://tinyurl.com/25dgzt8m
Dubai,Luggage Sets,Pastel Green / Medium-Large - ₹15498.00,"Dual-color 2-piece luggage set (24""/28""), durable, spacious, spinner wheels, TSA lock, 5-year shell warranty.",https://tinyurl.com/26qqepdy
Dubai,Luggage Sets,Pastel Green / Small-Medium-Large - ₹20993.00,"Stylish, durable 3-piece polypropylene luggage set (20"", 24"", 28"") with spinner wheels, TSA lock, and 5-year warranty.",https://tinyurl.com/2dm5yw5y
Dunes,Hardside Luggage,Black / Small - ₹1999.00,"Lightweight 20"" polycarbonate hard-side carry-on, Indian-made, with smooth spinner wheels and telescoping handle.",https://tinyurl.com/229k9n6a
Engineering,Backpack,Teal - ₹1699.00,"Durable, spacious backpack (36L) with laptop compartment, adjustable straps, rain cover, and 12-month warranty.",https://tinyurl.com/29g3oxtu
Dunes,Hardside,Purple / Small - ₹2249.00,"Lightweight 20"" polycarbonate hard-side carry-on,  Indian-made,  with smooth spinner wheels and telescoping handle.",https://tinyurl.com/227ydjod
Dunes,Hardside,Teal / Small - ₹2199.00,"Lightweight 20"" polycarbonate hard-side carry-on, made in India, with smooth spinner wheels and telescoping handle.",https://tinyurl.com/29umnvfd
Echo,Hardside Luggage,Black & Teal / Small - ₹2999.00,"Lightweight, 20"" carry-on with 15kg capacity, secure lock, spinner wheels, and organized compartments. 1-year shell/accessory warranty.",https://tinyurl.com/23su7gcf
Echo,Hardside Luggage,Grey & Fluorescent Green / Medium - ₹3299.00,"Lightweight, durable 24"" spinner luggage (20kg) with dual zippers, number lock, and 2 compartments. 1-year warranty (shell & accessories).",https://tinyurl.com/224fhg9g
Dunes,Hardside,Navy Blue / Small - ₹2199.00,"Lightweight 20"" polycarbonate hard-side carry-on,  Indian-made,  with smooth spinner wheels and telescoping handle.",https://tinyurl.com/2bs4fsk5
Engineering,Backpack,Yellow - ₹1699.00,"Durable, spacious backpack (36L) with laptop compartment, adjustable straps, rain cover, and 12-month warranty.",https://tinyurl.com/2dhsjfd6
Engineering,Backpack,Grey - ₹1699.00,"Durable, spacious backpack (36L) with laptop compartment, adjustable straps, and rain cover.",https://tinyurl.com/235p9za9
Eye Mask,Mask,Navy Blue - ₹349.00,"100% polyester blackout eye mask with cotton padding, elastic band, and double-sided quotes.",https://tinyurl.com/2y2afo3o
Fantasy - Dragon,Hardside Luggage,Green / Small - ₹2899.00,"Magical, colorful kids' luggage (3-12 yrs) with unicorn/dragon designs, roomy compartments, durable polycarbonate, and smooth spinner wheels. 12-month warranty.",https://tinyurl.com/23bpbfc2
Flower,Luggage Cover,Small - ₹799.00,"Eco-friendly, recycled luggage covers protect 18-20"" suitcases from dirt & damage.  Durable, stretchy, & stylish.",https://tinyurl.com/2dqehftt
Fantasy - Unicorn,Hardside Luggage,Pink / Small - ₹2799.00,"Magical, colorful kids' luggage (3-12 yrs) with unicorn/dragon designs, roomy compartments, durable polycarbonate, and smooth spinner wheels. 12-month warranty.",https://tinyurl.com/2xsf43tw
Feather,Luggage Cover,Small - ₹799.00,"Eco-friendly, recycled luggage covers protect 18-20"" suitcases from dirt and scratches.  Durable, stretchy, and stylish.",https://tinyurl.com/2bswpzp4
Feather,Luggage Cover,Large - ₹899.00,"Eco-friendly, recycled luggage covers protect 26-28"" bags from dirt & scratches.  Durable, stretchy, & stylish.",https://tinyurl.com/2c3ndt3s
Football Club,Backpack,Blue - ₹1499.00,"Durable polyester football backpack with padded laptop compartment, organized interior, and rain cover.  6-month warranty.",https://tinyurl.com/2496psng
Fifth Avenue,Hardside Luggage,Pink / Medium - ₹4299.00,"24"" hard-side checked luggage (M), ideal for 3-5 day trips.  High-impact ABS shell, expandable.  Number lock.",https://tinyurl.com/2d7j2yjz
Flora,Luggage Cover,Small - ₹799.00,"Eco-friendly, recycled luggage covers protect 18-20"" suitcases from dirt & damage.  Durable, stretchy, & stylish.",https://tinyurl.com/236kj8f8
Fifth Avenue,Hardside Luggage,Pink / Large - ₹4599.00,"Large hard-shell suitcase (28"") for 5-7 day trips.  High-impact ABS, expandable, number lock.",https://tinyurl.com/29ed4kjw
Flora,Luggage Cover,Medium - ₹949.00,"Eco-friendly, recycled luggage covers protect 22-24"" suitcases from dirt & damage.  Durable, stretchy, & stylish.",https://tinyurl.com/2aj42g7l
Flora,Luggage Cover sets,Small-Medium - ₹1499.00,"Eco-friendly, recycled luggage covers protect 18-24"" suitcases from dirt & damage.  Durable, stretchy, & stylish.",https://tinyurl.com/25973cgr
Flora,Luggage Cover,Large - ₹899.00,"Eco-friendly, recycled luggage covers protect 26-28"" suitcases from dirt & damage.  Durable, stretchy, & attractive designs.",https://tinyurl.com/29avvrx3
Flora,Luggage Cover sets,Small-Medium-Large - ₹2399.00,"Eco-friendly, recycled luggage covers protect 18-28"" suitcases from dirt & damage.  Durable, stretchy, & attractive designs.",https://tinyurl.com/2ba4a4eq
Flora,Luggage Cover sets,Medium-Large - ₹1699.00,"Eco-friendly, recycled luggage covers protect 22-28"" suitcases from dirt & damage.  Durable, stretchy, & attractive designs.",https://tinyurl.com/23sg2l9w
Fifth Avenue,Luggage Sets,Pink / Medium-Large - ₹8799.00,"Lightweight hard-shell 2-piece luggage set (24"", 28"").  Check-in size.  Impact-resistant, expandable. Number lock.",https://tinyurl.com/23npf9fl
Flower,Luggage Cover,Large - ₹899.00,"Eco-friendly, recycled luggage covers protect 26-28"" suitcases from dirt & damage.  Durable, stretchy, & stylish.",https://tinyurl.com/28u88jjj
Football Club,Backpack,Red - ₹1499.00,"Durable polyester football backpack with padded laptop compartment, organized interior, and rain cover.  6-month warranty.",https://tinyurl.com/2apwe3ed
